Domain_code,Domain,Area_code,Area,Element _code,Element,Crop _code,Crop,Year Code,Year,Unit,Value,Flag,Flag Description
QC,Crops,114,Kenya,5419,Yield,572,Avocados,2019,2019,hg/ha,156638,Fc,Calculated data
QC,Crops,114,Kenya,5510,Production,572,Avocados,2016,2016,tonnes,176045,,Official data
QC,Crops,114,Kenya,5510,Production,572,Avocados,2017,2017,tonnes,217688,,Official data
QC,Crops,114,Kenya,5510,Production,572,Avocados,2018,2018,tonnes,233933,,Official data
QC,Crops,114,Kenya,5510,Production,572,Avocados,2019,2019,tonnes,364935,,Official data
QC,Crops,114,Kenya,5312,Area harvested,486,Bananas,2016,2016,ha,63299,,Official data
QC,Crops,114,Kenya,5312,Area harvested,486,Bananas,2017,2017,ha,77576,,Official data
QC,Crops,114,Kenya,5312,Area harvested,486,Bananas,2018,2018,ha,72748,,Official data
QC,Crops,114,Kenya,5312,Area harvested,486,Bananas,2019,2019,ha,76912,,Official data
QC,Crops,114,Kenya,5419,Yield,486,Bananas,2016,2016,hg/ha,203572,Fc,Calculated data
QC,Crops,114,Kenya,5419,Yield,486,Bananas,2017,2017,hg/ha,184872,Fc,Calculated data
QC,Crops,114,Kenya,5419,Yield,486,Bananas,2018,2018,hg/ha,194394,Fc,Calculated data
QC,Crops,114,Kenya,5419,Yield,486,Bananas,2019,2019,hg/ha,223082,Fc,Calculated data
QC,Crops,114,Kenya,5510,Production,486,Bananas,2016,2016,tonnes,1288588,,Official data
QC,Crops,114,Kenya,5510,Production,486,Bananas,2017,2017,tonnes,1434162,,Official data
QC,Crops,114,Kenya,5510,Production,486,Bananas,2018,2018,tonnes,1414176,,Official data
QC,Crops,114,Kenya,5510,Production,486,Bananas,2019,2019,tonnes,1715770,,Official data
QC,Crops,114,Kenya,5312,Area harvested,44,Barley,2016,2016,ha,16953,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5312,Area harvested,44,Barley,2017,2017,ha,21000,*,Unofficial figure
QC,Crops,114,Kenya,5312,Area harvested,44,Barley,2018,2018,ha,20000,*,Unofficial figure
QC,Crops,114,Kenya,5312,Area harvested,44,Barley,2019,2019,ha,22016,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5419,Yield,44,Barley,2016,2016,hg/ha,36572,Fc,Calculated data
QC,Crops,114,Kenya,5419,Yield,44,Barley,2017,2017,hg/ha,36667,Fc,Calculated data
QC,Crops,114,Kenya,5419,Yield,44,Barley,2018,2018,hg/ha,39134,Fc,Calculated data
QC,Crops,114,Kenya,5419,Yield,44,Barley,2019,2019,hg/ha,38963,Fc,Calculated data
QC,Crops,114,Kenya,5510,Production,44,Barley,2016,2016,tonnes,62000,*,Unofficial figure
QC,Crops,114,Kenya,5510,Production,44,Barley,2017,2017,tonnes,77000,,Official data
QC,Crops,114,Kenya,5510,Production,44,Barley,2018,2018,tonnes,78267,,Official data
QC,Crops,114,Kenya,5510,Production,44,Barley,2019,2019,tonnes,85781,,Official data
QC,Crops,114,Kenya,5312,Area harvested,176,"Beans, dry",2016,2016,ha,1171710,,Official data
QC,Crops,114,Kenya,5312,Area harvested,176,"Beans, dry",2017,2017,ha,1030435,,Official data
QC,Crops,114,Kenya,5312,Area harvested,176,"Beans, dry",2018,2018,ha,1177173,,Official data
QC,Crops,114,Kenya,5312,Area harvested,176,"Beans, dry",2019,2019,ha,1167543,,Official data
QC,Crops,114,Kenya,5419,Yield,176,"Beans, dry",2016,2016,hg/ha,6215,Fc,Calculated data
QC,Crops,114,Kenya,5419,Yield,176,"Beans, dry",2017,2017,hg/ha,8210,Fc,Calculated data
QC,Crops,114,Kenya,5419,Yield,176,"Beans, dry",2018,2018,hg/ha,7110,Fc,Calculated data
QC,Crops,114,Kenya,5419,Yield,176,"Beans, dry",2019,2019,hg/ha,6398,Fc,Calculated data
QC,Crops,114,Kenya,5510,Production,176,"Beans, dry",2016,2016,tonnes,728160,,Official data
QC,Crops,114,Kenya,5510,Production,176,"Beans, dry",2017,2017,tonnes,846000,,Official data
QC,Crops,114,Kenya,5510,Production,176,"Beans, dry",2018,2018,tonnes,837000,,Official data
QC,Crops,114,Kenya,5510,Production,176,"Beans, dry",2019,2019,tonnes,747000,,Official data
QC,Crops,114,Kenya,5312,Area harvested,414,"Beans, green",2016,2016,ha,3570,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5312,Area harvested,414,"Beans, green",2017,2017,ha,3434,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5312,Area harvested,414,"Beans, green",2018,2018,ha,3304,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5312,Area harvested,414,"Beans, green",2019,2019,ha,3179,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5419,Yield,414,"Beans, green",2016,2016,hg/ha,118546,Fc,Calculated data
QC,Crops,114,Kenya,5419,Yield,414,"Beans, green",2017,2017,hg/ha,121392,Fc,Calculated data
QC,Crops,114,Kenya,5419,Yield,414,"Beans, green",2018,2018,hg/ha,124246,Fc,Calculated data
QC,Crops,114,Kenya,5419,Yield,414,"Beans, green",2019,2019,hg/ha,127134,Fc,Calculated data
QC,Crops,114,Kenya,5510,Production,414,"Beans, green",2016,2016,tonnes,42321,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5510,Production,414,"Beans, green",2017,2017,tonnes,41686,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5510,Production,414,"Beans, green",2018,2018,tonnes,41051,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5510,Production,414,"Beans, green",2019,2019,tonnes,40416,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5312,Area harvested,558,Berries nes,2016,2016,ha,212,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5312,Area harvested,558,Berries nes,2017,2017,ha,214,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5312,Area harvested,558,Berries nes,2018,2018,ha,216,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5312,Area harvested,558,Berries nes,2019,2019,ha,217,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5419,Yield,558,Berries nes,2016,2016,hg/ha,28726,Fc,Calculated data
QC,Crops,114,Kenya,5419,Yield,558,Berries nes,2017,2017,hg/ha,28598,Fc,Calculated data
QC,Crops,114,Kenya,5419,Yield,558,Berries nes,2018,2018,hg/ha,28426,Fc,Calculated data
QC,Crops,114,Kenya,5419,Yield,558,Berries nes,2019,2019,hg/ha,28433,Fc,Calculated data
QC,Crops,114,Kenya,5510,Production,558,Berries nes,2016,2016,tonnes,609,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5510,Production,558,Berries nes,2017,2017,tonnes,612,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5510,Production,558,Berries nes,2018,2018,tonnes,614,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5510,Production,558,Berries nes,2019,2019,tonnes,617,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5312,Area harvested,358,Cabbages and other brassicas,2016,2016,ha,26931,,Official data
QC,Crops,114,Kenya,5312,Area harvested,358,Cabbages and other brassicas,2017,2017,ha,15064,,Official data
QC,Crops,114,Kenya,5312,Area harvested,358,Cabbages and other brassicas,2018,2018,ha,22672,,Official data
QC,Crops,114,Kenya,5312,Area harvested,358,Cabbages and other brassicas,2019,2019,ha,25733,,Official data
QC,Crops,114,Kenya,5419,Yield,358,Cabbages and other brassicas,2016,2016,hg/ha,288142,Fc,Calculated data
QC,Crops,114,Kenya,5419,Yield,358,Cabbages and other brassicas,2017,2017,hg/ha,507488,Fc,Calculated data
QC,Crops,114,Kenya,5419,Yield,358,Cabbages and other brassicas,2018,2018,hg/ha,297395,Fc,Calculated data
QC,Crops,114,Kenya,5419,Yield,358,Cabbages and other brassicas,2019,2019,hg/ha,322283,Fc,Calculated data
QC,Crops,114,Kenya,5510,Production,358,Cabbages and other brassicas,2016,2016,tonnes,775994,,Official data
QC,Crops,114,Kenya,5510,Production,358,Cabbages and other brassicas,2017,2017,tonnes,764480,,Official data
QC,Crops,114,Kenya,5510,Production,358,Cabbages and other brassicas,2018,2018,tonnes,674253,,Official data
QC,Crops,114,Kenya,5510,Production,358,Cabbages and other brassicas,2019,2019,tonnes,829331,,Official data
QC,Crops,114,Kenya,5312,Area harvested,426,Carrots and turnips,2016,2016,ha,6867,,Official data
QC,Crops,114,Kenya,5312,Area harvested,426,Carrots and turnips,2017,2017,ha,6405,,Official data
QC,Crops,114,Kenya,5312,Area harvested,426,Carrots and turnips,2018,2018,ha,6344,,Official data
QC,Crops,114,Kenya,5312,Area harvested,426,Carrots and turnips,2019,2019,ha,8627,,Official data
QC,Crops,114,Kenya,5419,Yield,426,Carrots and turnips,2016,2016,hg/ha,161564,Fc,Calculated data
QC,Crops,114,Kenya,5419,Yield,426,Carrots and turnips,2017,2017,hg/ha,311607,Fc,Calculated data
QC,Crops,114,Kenya,5419,Yield,426,Carrots and turnips,2018,2018,hg/ha,377588,Fc,Calculated data
QC,Crops,114,Kenya,5419,Yield,426,Carrots and turnips,2019,2019,hg/ha,381390,Fc,Calculated data
QC,Crops,114,Kenya,5510,Production,426,Carrots and turnips,2016,2016,tonnes,110946,,Official data
QC,Crops,114,Kenya,5510,Production,426,Carrots and turnips,2017,2017,tonnes,199584,,Official data
QC,Crops,114,Kenya,5510,Production,426,Carrots and turnips,2018,2018,tonnes,239542,,Official data
QC,Crops,114,Kenya,5510,Production,426,Carrots and turnips,2019,2019,tonnes,329025,,Official data
QC,Crops,114,Kenya,5312,Area harvested,217,"Cashew nuts, with shell",2016,2016,ha,29830,,Official data
